"outcome","race","age","relationship","sex","marital_status"
0," White",39," Not-in-family"," Male"," Never-married"
0," White",50," Husband"," Male"," Married-civ-spouse"
0," White",38," Not-in-family"," Male"," Divorced"
0," Black",53," Husband"," Male"," Married-civ-spouse"
0," Black",28," Wife"," Female"," Married-civ-spouse"
0," White",37," Wife"," Female"," Married-civ-spouse"
0," Black",49," Not-in-family"," Female"," Married-spouse-absent"
1," White",52," Husband"," Male"," Married-civ-spouse"
1," White",31," Not-in-family"," Female"," Never-married"
1," White",42," Husband"," Male"," Married-civ-spouse"
1," Black",37," Husband"," Male"," Married-civ-spouse"
1," Asian-Pac-Islander",30," Husband"," Male"," Married-civ-spouse"
0," White",23," Own-child"," Female"," Never-married"
0," Black",32," Not-in-family"," Male"," Never-married"
1," Asian-Pac-Islander",40," Husband"," Male"," Married-civ-spouse"
0," Amer-Indian-Eskimo",34," Husband"," Male"," Married-civ-spouse"
0," White",25," Own-child"," Male"," Never-married"
0," White",32," Unmarried"," Male"," Never-married"
0," White",38," Husband"," Male"," Married-civ-spouse"
1," White",43," Unmarried"," Female"," Divorced"
1," White",40," Husband"," Male"," Married-civ-spouse"
0," Black",54," Unmarried"," Female"," Separated"
0," Black",35," Husband"," Male"," Married-civ-spouse"
0," White",43," Husband"," Male"," Married-civ-spouse"
0," White",59," Unmarried"," Female"," Divorced"
1," White",56," Husband"," Male"," Married-civ-spouse"
0," White",19," Own-child"," Male"," Never-married"
1," Asian-Pac-Islander",54," Husband"," Male"," Married-civ-spouse"
0," White",39," Not-in-family"," Male"," Divorced"
0," White",49," Husband"," Male"," Married-civ-spouse"
0," White",23," Not-in-family"," Male"," Never-married"
0," Black",20," Own-child"," Male"," Never-married"
0," White",45," Own-child"," Male"," Divorced"
0," White",30," Own-child"," Male"," Married-civ-spouse"
0," Black",22," Husband"," Male"," Married-civ-spouse"
0," White",48," Unmarried"," Male"," Never-married"
0," White",21," Own-child"," Male"," Never-married"
0," White",19," Wife"," Female"," Married-AF-spouse"
1," White",31," Husband"," Male"," Married-civ-spouse"
0," White",48," Husband"," Male"," Married-civ-spouse"
0," White",31," Husband"," Male"," Married-civ-spouse"
0," White",53," Husband"," Male"," Married-civ-spouse"
0," White",24," Husband"," Male"," Married-civ-spouse"
0," White",49," Unmarried"," Female"," Separated"
0," White",25," Not-in-family"," Male"," Never-married"
1," Black",57," Husband"," Male"," Married-civ-spouse"
0," White",53," Husband"," Male"," Married-civ-spouse"
0," White",44," Unmarried"," Female"," Divorced"
0," White",41," Husband"," Male"," Married-civ-spouse"
0," White",29," Not-in-family"," Male"," Never-married"
0," Other",25," Wife"," Female"," Married-civ-spouse"
0," White",18," Own-child"," Female"," Never-married"
1," White",47," Wife"," Female"," Married-civ-spouse"
1," White",50," Not-in-family"," Male"," Divorced"
0," White",47," Not-in-family"," Male"," Divorced"
1," White",43," Husband"," Male"," Married-civ-spouse"
0," White",46," Husband"," Male"," Married-civ-spouse"
0," White",35," Husband"," Male"," Married-civ-spouse"
0," White",41," Husband"," Male"," Married-civ-spouse"
0," White",30," Husband"," Male"," Married-civ-spouse"
0," White",30," Husband"," Male"," Married-civ-spouse"
0," White",32," Not-in-family"," Male"," Married-spouse-absent"
0," White",48," Husband"," Male"," Married-civ-spouse"
1," White",42," Husband"," Male"," Married-civ-spouse"
0," White",29," Not-in-family"," Male"," Divorced"
0," White",36," Husband"," Male"," Married-civ-spouse"
0," White",28," Not-in-family"," Female"," Divorced"
1," White",53," Wife"," Female"," Married-civ-spouse"
1," White",49," Husband"," Male"," Married-civ-spouse"
0," White",25," Own-child"," Male"," Never-married"
0," White",19," Own-child"," Male"," Never-married"
0," Black",31," Own-child"," Female"," Separated"
1," White",29," Husband"," Male"," Married-civ-spouse"
0," White",23," Not-in-family"," Male"," Never-married"
