"race","error_type"
"Other","tn"
"African_American","fn"
"African_American","fn"
"Other","tn"
"Caucasian","tp"
"Other","tn"
"Caucasian","tn"
"Caucasian","tn"
"African_American","tp"
"Caucasian","tn"
"African_American","tn"
"Caucasian","fn"
"African_American","fn"
"Hispanic","tn"
"African_American","fp"
"Caucasian","tp"
"Caucasian","fn"
"African_American","tp"
"African_American","tp"
"Caucasian","fn"
"Caucasian","tn"
"Hispanic","fn"
"Caucasian","tn"
"Other","tn"
"African_American","fn"
"African_American","tp"
"African_American","tp"
"Caucasian","tp"
"African_American","tp"
"Caucasian","tn"
"Other","fn"
"Caucasian","tp"
"Caucasian","fn"
"African_American","tp"
"Caucasian","tn"
"African_American","fp"
"African_American","tn"
"Caucasian","fn"
"African_American","tn"
"African_American","tp"
"Caucasian","tp"
"African_American","tp"
"Caucasian","tn"
"African_American","tn"
"Caucasian","fn"
"Other","tn"
"African_American","fp"
"African_American","fn"
"Hispanic","fp"
"African_American","tn"
"Caucasian","fp"
"African_American","tn"
"African_American","tp"
"Caucasian","fn"
"African_American","fn"
"African_American","tp"
"Hispanic","tn"
"African_American","tp"
"Other","tn"
"African_American","tn"
"Hispanic","fn"
"Hispanic","tn"
"African_American","tn"
"African_American","tp"
"Caucasian","tp"
"African_American","tn"
"African_American","fn"
"Caucasian","fp"
"African_American","fn"
"African_American","tn"
"African_American","tn"
"African_American","tp"
"Other","fn"
"African_American","tp"
"Other","tp"
"African_American","tp"
"African_American","tn"
"African_American","tp"
"Caucasian","tp"
"Other","tp"
"Caucasian","tp"
"Caucasian","fp"
"Caucasian","fn"
"Caucasian","tn"
"Hispanic","tn"
"African_American","fn"
"African_American","tn"
"Caucasian","fn"
"Caucasian","tp"
"Caucasian","tn"
"Caucasian","fp"
"Caucasian","tn"
"Caucasian","tn"
"African_American","tp"
"Caucasian","fn"
"Caucasian","fp"
"African_American","tp"
"African_American","tn"
"Caucasian","fn"
"African_American","tp"
"African_American","fn"
"African_American","tp"
"African_American","fp"
"Other","tn"
"Caucasian","tp"
"African_American","tp"
